timestamp,device_name,device_address,rssi,distance_m,condition,trial
2026-04-07 19:45:30.511532,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:31.419882,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:31.451834,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:32.405799,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,2
2026-04-07 19:45:32.405799,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,2
2026-04-07 19:45:32.501283,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:32.505318,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:32.598562,EEG Wearable,E1:1B:6D:10:62:56,-66,0.2,line_of_sight,2
2026-04-07 19:45:32.623041,EEG Wearable,E1:1B:6D:10:62:56,-66,0.2,line_of_sight,2
2026-04-07 19:45:58.715939,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:45:58.718459,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:45:58.820107,EEG Wearable,E1:1B:6D:10:62:56,-68,0.2,line_of_sight,3
2026-04-07 19:46:00.852282,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:00.854300,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:01.889314,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:01.896313,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:02.726943,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:02.734712,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:02.842905,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:02.845481,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:03.786096,EEG Wearable,E1:1B:6D:10:62:56,-68,0.2,line_of_sight,3
2026-04-07 19:46:03.787749,EEG Wearable,E1:1B:6D:10:62:56,-68,0.2,line_of_sight,3
2026-04-07 19:46:04.616471,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:05.453424,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:05.464200,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:05.559987,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:05.584820,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:06.208135,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:06.241120,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:06.745516,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:06.780623,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:07.474031,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:07.503083,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:07.606957,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,3
2026-04-07 19:46:07.612947,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,3
2026-04-07 19:46:07.686408,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:07.715059,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,3
2026-04-07 19:46:08.528704,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,3
2026-04-07 19:46:08.534810,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,3
2026-04-07 19:46:09.347674,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,3
2026-04-07 19:46:09.376445,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,3
2026-04-07 19:46:09.479809,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,3
